t,(Var=C2) C2,(Var=CP) CP,(Var=CT) CT,(Var=EmptySet) EmptySet,(Var=J_Reaction1) J_Reaction1,(Var=J_Reaction2) J_Reaction2,(Var=J_Reaction3) J_Reaction3,(Var=J_Reaction4) J_Reaction4,(Var=J_Reaction5) J_Reaction5,(Var=J_Reaction6) J_Reaction6,(Var=J_Reaction7) J_Reaction7,(Var=J_Reaction8) J_Reaction8,(Var=J_Reaction9) J_Reaction9,(Var=M) M,(Var=pM) pM,(Var=Y) Y,(Var=YP) YP
0.00E+000,0.00E+000,750000,1000000,0,0,0.00E+000,7.50E+008,0.00E+000,0.00E+000,15000,0,0,4.50E+003,0.00E+000,2.50E+005,0,0.00E+000
9.46E-011,7.10E-002,749999.92902873,1000000,0,4.26E-007,7.10E+004,7.50E+008,2.13E-004,0,15000,0,1.21E-017,4.50E+003,4.26E-007,2.50E+005,1.42E-006,2.02E-017
2.52E-009,1.8881471503,749998.11185285,1000000,0,1.13E-005,1.89E+006,7.50E+008,5.67E-003,0,15000,0,8.58E-015,4.50E+003,1.13E-005,2.50E+005,3.78E-005,1.43E-014
2.52E-008,18.6730554702,749981.326944529,1000000,0,1.13E-004,1.87E+007,7.50E+008,5.67E-002,0,15000,0,8.58E-013,4.50E+003,1.13E-004,2.50E+005,3.78E-004,1.43E-012
9.64E-008,68.9421848454,749931.057815145,1000000,0,4.34E-004,6.89E+007,7.50E+008,2.17E-001,0,15000,0,1.26E-011,4.50E+003,4.34E-004,249999.999566072,0.0014464517,2.09E-011
2.77E-007,181.5650752639,749818.43492465,1000000,0,0.0012475285,1.82E+008,7.50E+008,6.24E-001,0,15000,0,1.04E-010,4.50E+003,1.25E-003,249999.998752558,0.0041583426,1.73E-010
5.69E-007,325.4188575896,749674.581142047,1000000,0,0.0025612537,3.25E+008,7.50E+008,1.28E+000,0,15000,0,4.37E-010,4.50E+003,2.56E-003,249999.99743911,0.0085371504,7.29E-010
8.61E-007,432.8195259097,749567.180473259,1000000,0,0.0038749784,4.33E+008,7.50E+008,1.94E+000,0,15000,0,1.00E-009,4.50E+003,3.87E-003,249999.996125854,0.0129157665,1.67E-009
1.29E-006,542.6846294537,749457.315368687,1000000,0,0.0057922432,5.43E+008,7.49E+008,2.89E+000,0,15000,0,2.24E-009,4.50E+003,5.79E-003,249999.994209616,0.0193056273,3.73E-009
1.73E-006,616.4010989806,749383.598897669,1000000,0,0.0077765672,6.16E+008,7.49E+008,3.88E+000,0,15000,0,4.03E-009,4.50E+003,7.78E-003,249999.992226783,0.0259185563,6.72E-009
2.17E-006,663.8106509659,749336.189343756,1000000,0,0.0097608903,6.64E+008,7.49E+008,4.88E+000,0,15000,0,6.35E-009,4.50E+003,9.76E-003,249999.990244388,0.0325310484,1.06E-008
2.61E-006,694.3013355335,749305.698656825,1000000,0,0.0117452125,6.94E+008,7.49E+008,5.87E+000,0,15000,0,9.20E-009,4.50E+003,1.17E-002,249999.988262429,0.0391431036,1.53E-008
3.12E-006,716.1969110324,749283.803078065,1000000,0,0.0140301601,7.16E+008,7.49E+008,7.01E+000,0,15000,0,1.31E-008,4.50E+003,1.40E-002,249999.985980743,0.0467563496,2.19E-008
3.78E-006,732.2403338683,749267.759650095,1000000,0,0.0170165674,7.32E+008,7.49E+008,8.50E+000,0,15000,0,1.93E-008,4.50E+003,1.70E-002,249999.98299947,0.0567059307,3.22E-008
4.45E-006,740.4967210888,749259.503256752,1000000,0,0.0200029726,7.40E+008,7.49E+008,9.99E+000,0,15000,0,2.67E-008,4.50E+003,2.00E-002,249999.980019187,0.0666545224,4.45E-008
5.11E-006,744.7456853018,749255.25428543,1000000,0,0.0229893759,7.45E+008,7.49E+008,1.15E+001,0,15000,0,3.52E-008,4.50E+003,2.30E-002,249999.977039893,0.0766021249,5.87E-008
5.97E-006,747.3532395673,749252.646720433,1000000,0,0.0268764418,7.47E+008,7.49E+008,1.34E+001,0,15000,0,4.82E-008,4.50E+003,2.69E-002,249999.973163559,0.0895483312,8.03E-008
6.97E-006,748.5514543482,749251.448491182,1000000,0,0.0313639469,7.49E+008,7.49E+008,1.57E+001,0,15000,0,6.56E-008,4.50E+003,3.14E-002,249999.968690523,0.1044922817,1.09E-007
