t,(Var=C2) C2,(Var=CP) CP,(Var=CT) CT,(Var=EmptySet) EmptySet,(Var=J_Reaction1) J_Reaction1,(Var=J_Reaction2) J_Reaction2,(Var=J_Reaction3) J_Reaction3,(Var=J_Reaction4) J_Reaction4,(Var=J_Reaction5) J_Reaction5,(Var=J_Reaction6) J_Reaction6,(Var=J_Reaction7) J_Reaction7,(Var=J_Reaction8) J_Reaction8,(Var=J_Reaction9) J_Reaction9,(Var=M) M,(Var=pM) pM,(Var=Y) Y,(Var=YP) YP
0,-3.28E-011,750000,1000000,0,0,-0.0000328,750000000,0,0,15000,0,0,4500,0,250000,0,0
0.000000719,385,749615.457869743,1000000,0,0.00324,385000000,750000000,1.62,0,15000,0,6.98E-010,4499.9999417507,0.00324,249999.996763899,0.0108,1.16E-009
0.00000449,741,749259.15071684,1000000,0,0.0202,741000000,749000000,10.1,0,15000,0,2.72E-008,4499.9996370378,0.0201881552,249999.979834416,0.0672713876,4.53E-008
0.0000148,749,749250.749462867,1000000,0,0.0665,749000000,749000000,33.2,0,15000,0,0.000000295,4499.998807055,0.0665307859,249999.933714209,0.2215254681,0.000000492
0.0000675,749,749250.744142091,1000000,0,0.304,749000000,749000000,151.0440528253,0,15000,0,0.00000616,4499.9946255126,0.3039125239,249999.701186458,1.0079673194,0.0000103
0.000937,749,749249.81051408,1000000,0,4.21,749000000,749000000,1964.4876440878,0,15000,0,0.00118,4499.9418717375,4.2133983828,249996.726270851,13.1096973034,0.00197
0.00605,749,749219.788458881,1000000,0,27.1,749000000,749000000,8940.6595783711,0,15000,0,0.0492,4500.1024817288,27.1397276616,250003.851988959,59.6664671442,0.0821
0.0122,749,749151.986078041,1000000,0,54.6,749000000,749000000,12594.5331187153,0,15000,0,0.2,4500.9303040679,54.6447520477,250044.217116666,84.0585979399,0.334
0.0208,749,749035.282743825,1000000,0,92.8,749000000,749000000,14336.2076469505,0,15000,0,0.579,4502.600047622,92.7532790176,250122.928587435,95.6978127548,0.965
0.031,749,748887.268987556,1000000,0,137,749000000,749000000,14854.1925118582,0,15000,0,1.28,4504.9259498379,137.4619732251,250226.381618072,99.175090344,2.13
